Blocks, time
69900,2.245
70000,2.182
70100,2.219
70200,2.206
70300,2.281
70400,2.183
70500,2.192
70600,2.247
70700,2.333
70800,2.217
70900,2.213
71000,2.211
71100,2.279
71200,2.232
71300,2.241
71400,2.231
71500,2.257
71600,2.269
71700,2.267
71800,2.264
71900,2.343
72000,2.257
72100,2.32
72200,2.31
72300,2.415
72400,2.34
72500,2.328
72600,2.332
72700,2.322
72800,2.328
72900,2.301
73000,2.415
73100,2.353
73200,2.331
73300,2.329
73400,2.386
73500,2.403
73600,2.39
73700,2.397
73800,2.407
73900,2.403
74000,2.4
74100,2.417
74200,2.45
74300,2.477
74400,2.435
74500,2.446
74600,2.44
74700,2.453
74800,2.473
74900,2.429
75000,2.462
75100,2.446
75200,2.535
75300,2.434
75400,2.508
75500,2.472
75600,2.505
75700,2.545
75800,2.515
75900,2.476
76000,2.531
76100,2.617
76200,2.544
76300,2.64
76400,2.534
76500,2.567
76600,2.583
76700,2.573
76800,2.565
76900,2.595
77000,2.559
77100,2.6
77200,2.6
77300,2.599
77400,2.62
77500,2.638
77600,2.631
77700,2.584
77800,2.665
77900,2.655
78000,2.634
78100,2.669
78200,2.618
78300,2.773
78400,2.695
78500,2.74
78600,2.743
78700,2.764
78800,2.702
78900,2.719
79000,2.743
79100,2.74
79200,2.738
79300,2.701
79400,2.697
79500,2.784
79600,2.77
79700,2.797
79800,2.849
79900,2.821
80000,2.82
80100,2.815
80200,2.801
80300,2.905
80400,2.831
80500,2.793
80600,2.829
80700,2.879
80800,2.857
80900,2.861
81000,2.874
81100,2.827
81200,2.878
81300,2.907
81400,2.875
81500,2.922
81600,2.853
81700,2.884
81800,2.906
81900,2.964
82000,2.972
82100,2.929
82200,3.056
82300,2.953
82400,2.967
82500,3.05
82600,2.984
82700,3.03
82800,2.98
82900,2.944
83000,3.02
83100,3.096
83200,3.014
83300,3.046
83400,3.032
83500,3.056
83600,3.085
83700,3.116
83800,3.105
83900,3.137
84000,3.124
84100,3.077
84200,3.1
84300,3.114
84400,3.034
84500,3.129
84600,3.208
84700,3.387
84800,3.585
84900,3.279
85000,3.282
85100,3.218
85200,3.374
85300,3.196
85400,3.189
85500,3.149
85600,3.269
85700,3.232
85800,3.356
85900,3.212
86000,3.285
86100,3.258
86200,3.194
86300,3.201
86400,3.254
86500,3.27
86600,3.358
86700,3.32
86800,3.296
86900,3.323
87000,3.329
87100,3.345
87200,3.341
87300,3.322
87400,3.363
87500,3.328
87600,3.344
87700,3.459
87800,3.413
87900,3.38
88000,3.419
88100,3.337
88200,3.405
88300,3.458
88400,3.491
88500,3.397
88600,3.482
88700,3.495
88800,3.473
88900,3.471
89000,3.449
89100,3.411
89200,3.579
89300,3.557
89400,3.487
89500,3.597
89600,3.665
89700,3.642
89800,3.684
89900,3.711
90000,3.683
90100,3.64
90200,3.526
90300,3.716
90400,3.62
90500,3.522
90600,3.671
90700,3.652
90800,3.648
90900,3.653
91000,3.662
91100,3.707
91200,3.64
91300,3.645
91400,3.644
91500,3.758
91600,3.683
91700,3.749
91800,3.746
91900,3.712
92000,3.662
92100,3.736
92200,3.764
92300,3.746
92400,3.742
92500,3.7
92600,3.775
92700,3.82
92800,3.825
92900,3.769
93000,3.766
93100,3.774
93200,3.877
93300,3.81
93400,3.807
93500,3.8
93600,3.744
93700,3.902
93800,3.851
93900,3.877
94000,3.917
94100,3.913
94200,3.942
94300,3.882
94400,3.882
94500,4.044
94600,4.026
94700,3.93
94800,3.964
94900,4.026
95000,3.93
95100,3.96
95200,4.031
95300,3.916
95400,4.112
95500,3.976
95600,3.962
95700,4.12
95800,4.035
95900,4.096
96000,3.961
96100,4.05
96200,4.034
96300,4.191
96400,4.073
96500,4.129
96600,4.107
96700,4.174
96800,4.156
96900,4.101
97000,4.108
97100,4.096
97200,4.166
97300,4.086
97400,4.151
97500,4.261
97600,4.227
97700,4.183
97800,4.242
97900,4.156
98000,4.243
98100,4.202
98200,4.144
98300,4.228
98400,4.326
98500,4.252
98600,4.258
98700,4.352
98800,4.409
98900,4.352
99000,4.293
99100,4.313
99200,4.298
99300,4.358
99400,4.345
99500,4.327
99600,4.358
99700,4.344
99800,4.365
99900,4.501
100000,4.398
