Blocks,Insertion,Selection
58900,1.408,1.524
59000,1.402,1.544
59100,1.404,1.534
59200,1.426,1.537
59300,1.482,1.605
59400,1.434,1.521
59500,1.487,1.563
59600,1.444,1.558
59700,1.44,1.564
59800,1.458,1.619
59900,1.425,1.569
60000,1.495,1.583
60100,1.45,1.61
60200,1.424,1.555
60300,1.506,1.603
60400,1.475,1.608
60500,1.544,1.66
60600,1.472,1.615
60700,1.505,1.62
60800,1.496,1.616
60900,1.47,1.618
61000,1.465,1.651
61100,1.531,1.673
61200,1.542,1.638
61300,1.512,1.628
61400,1.547,1.712
61500,1.543,1.712
61600,1.541,1.66
61700,1.55,1.678
61800,1.605,1.68
61900,1.554,1.698
62000,1.548,1.665
62100,1.56,1.66
62200,1.563,1.704
62300,1.577,1.701
62400,1.585,1.738
62500,1.587,1.71
62600,1.576,1.737
62700,1.598,1.692
62800,1.633,1.727
62900,1.605,1.786
63000,1.59,1.747
63100,1.632,1.753
63200,1.681,1.796
63300,1.676,1.838
63400,1.753,1.874
63500,1.716,1.963
63600,1.704,1.854
63700,1.681,1.833
63800,1.681,1.782
63900,1.681,1.812
64000,1.693,1.83
64100,1.679,1.815
64200,1.752,1.819
64300,1.715,1.837
64400,1.731,1.888
64500,1.69,1.838
64600,1.71,1.854
64700,1.736,1.886
64800,1.758,1.995
64900,1.838,1.945
65000,1.746,2.089
65100,1.757,1.889
65200,1.728,1.914
65300,1.739,1.917
65400,1.741,1.902
65500,1.758,1.905
65600,1.766,2.011
65700,1.802,1.93
65800,1.778,1.959
65900,1.751,1.972
66000,1.774,1.964
66100,1.799,1.948
66200,1.79,1.97
66300,1.787,1.941
66400,1.799,1.996
66500,1.984,2.022
66600,2.011,1.986
66700,1.846,2.144
66800,1.845,2.026
66900,1.844,2.015
67000,1.895,2.012
67100,1.893,2.014
67200,1.847,2.028
67300,1.807,1.994
67400,1.865,2.018
67500,1.861,2.005
67600,1.856,2.057
67700,1.89,2.042
67800,1.902,2.07
67900,1.865,2.07
68000,1.951,2.129
68100,1.893,2.07
68200,1.911,2.085
68300,1.929,2.145
68400,1.931,2.1
68500,1.995,2.129
68600,1.95,2.063
68700,1.955,2.093
68800,1.979,2.185
68900,1.942,2.172
69000,1.937,2.163
69100,2.001,2.136
69200,1.985,2.15
69300,2.01,2.134
69400,1.98,2.162
69500,2.044,2.196
69600,1.986,2.186
69700,2.02,2.167
69800,2.011,2.209
69900,2.079,2.245
70000,2.022,2.182
70100,2.026,2.219
70200,2.033,2.206
70300,2.029,2.281
70400,2.02,2.183
70500,2.054,2.192
70600,2.078,2.247
70700,2.091,2.333
70800,2.06,2.217
70900,2.031,2.213
71000,2.13,2.211
71100,2.057,2.279
71200,2.05,2.232
71300,2.015,2.241
71400,2.068,2.231
71500,2.089,2.257
71600,2.11,2.269
71700,2.091,2.267
71800,2.075,2.264
71900,2.125,2.343
72000,2.087,2.257
72100,2.132,2.32
72200,2.284,2.31
72300,2.104,2.415
72400,2.105,2.34
72500,2.149,2.328
72600,2.137,2.332
72700,2.188,2.322
72800,2.159,2.328
72900,2.131,2.301
73000,2.248,2.415
73100,2.161,2.353
73200,2.131,2.331
73300,2.195,2.329
73400,2.19,2.386
73500,2.19,2.403
73600,2.181,2.39
